day,M0_naive,M1_inflammatory,M2_healing,Mg_conc_mol_m3,M2_M1_ratio,phase
0,1.0,0.05,0.02,0.8,0.4,inflammatory
1,0.864001,0.197877,0.047219,1.040261,0.23863,inflammatory
2,0.76722,0.300916,0.074502,1.262051,0.247584,inflammatory
3,0.699799,0.37152,0.100545,1.466788,0.270631,inflammatory
4,0.653921,0.418826,0.124935,1.655784,0.298299,inflammatory
5,0.623642,0.44943,0.147691,1.83025,0.328619,inflammatory
6,0.604549,0.468056,0.169,1.991302,0.361069,inflammatory
7,0.593413,0.478085,0.189092,2.139972,0.395519,inflammatory
8,0.587888,0.481948,0.208178,2.277211,0.431951,inflammatory
9,0.586273,0.4814,0.226432,2.403899,0.470362,inflammatory
10,0.587339,0.477722,0.243987,2.520847,0.510731,inflammatory
11,0.590201,0.47185,0.260939,2.628803,0.553014,inflammatory
12,0.594218,0.464477,0.277354,2.72846,0.597131,inflammatory
13,0.598935,0.456117,0.293273,2.820454,0.642977,inflammatory
14,0.604022,0.447151,0.308722,2.905376,0.690419,inflammatory
15,0.609224,0.437902,0.323701,2.977783,0.739209,inflammatory
16,0.614271,0.428747,0.338159,3.033197,0.788714,inflammatory
17,0.618969,0.419981,0.352031,3.073482,0.838208,inflammatory
18,0.623201,0.411807,0.365263,3.100331,0.886976,inflammatory
19,0.626903,0.404363,0.377805,3.115282,0.934321,inflammatory
20,0.630049,0.397735,0.389616,3.119729,0.979586,inflammatory
21,0.632636,0.391974,0.400662,3.114935,1.022164,healing
22,0.634679,0.387103,0.410916,3.102046,1.061517,healing
23,0.636203,0.383125,0.42036,3.082096,1.097187,healing
24,0.637239,0.380031,0.428982,3.056021,1.128808,healing
25,0.637823,0.377799,0.436776,3.024665,1.156109,healing
26,0.637991,0.376399,0.443744,2.98879,1.178917,healing
27,0.637779,0.375799,0.449889,2.949081,1.197153,healing
28,0.637223,0.375961,0.455223,2.906154,1.210827,healing
